Anexo;Segmento;item;CEST;NCM;Descrição
II;AUTOPEÇAS;410;104100;8421.31.00;Filtros de entrada de ar para motores de ignição por centelha ou por compressão
II;AUTOPEÇAS;420;104200;8421.39.20;Depuradores por conversão catalítica de gases de escape
II;AUTOPEÇAS;430;104300;8425.42.00;Macacos
II;AUTOPEÇAS;440;104400;8431.10.10;Partes para macacos do CEST 01.043.00
II;AUTOPEÇAS;450;104500;8431.49.2;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
II;AUTOPEÇAS;451;104501;8433.90.90;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
II;AUTOPEÇAS;460;104600;8481.10.00;Válvulas redutoras de pressão
II;AUTOPEÇAS;470;104700;8481.2;Válvulas para transmissão óleo-hidráulicas ou pneumáticas
II;AUTOPEÇAS;480;104800;8481.80.92;Válvulas solenoides
II;AUTOPEÇAS;490;104900;8482;Rolamentos
II;AUTOPEÇAS;500;105000;8483;Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas mancais e “bronzes” engrenagens e rodas de fricção eixos de esferas ou de roletes redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque volantes e polias, incluídas as polias para cadernais embreagens e dispositivos de acoplamento, incluídas as juntas de articulação
II;AUTOPEÇAS;510;105100;8484;Juntas metaloplásticas jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes juntas de vedação mecânicas (selos mecânicos)
II;AUTOPEÇAS;520;105200;8505.20;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos
II;AUTOPEÇAS;530;105300;8507.10;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01
II;AUTOPEÇAS;531;105301;8507.10.10;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V
II;AUTOPEÇAS;540;105400;8511;Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque) geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores
II;AUTOPEÇAS;550;105500;8512.20 8512.40 8512.90.00;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
II;AUTOPEÇAS;560;105600;8517.12.13;Telefones móveis do tipo dos utilizados em veículos automóveis.
II;AUTOPEÇAS;570;105700;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes
II;AUTOPEÇAS;580;105800;8518.50.00;Aparelhos elétricos de amplificação de som para veículos automotores
II;AUTOPEÇAS;590;105900;8519.81;Aparelhos de reprodução de som
II;AUTOPEÇAS;600;106000;8525.50.1 8525.60.10;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
II;AUTOPEÇAS;610;106100;8527.21.00;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis
II;AUTOPEÇAS;620;106200;8527.29.00;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis
II;AUTOPEÇAS;621;106201;8521.90.90;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
II;AUTOPEÇAS;630;106300;8529.10.90;Antenas
II;AUTOPEÇAS;640;106400;8534.00;Circuitos impressos
II;AUTOPEÇAS;650;106500;8535.30 8536.50;Interruptores e seccionadores e comutadores
II;AUTOPEÇAS;660;106600;8536.10.00;Fusíveis e corta-circuitos de fusíveis
II;AUTOPEÇAS;670;106700;8536.20.00;Disjuntores
II;AUTOPEÇAS;680;106800;8536.4;Relés
II;AUTOPEÇAS;690;106900;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
II;AUTOPEÇAS;700;107000;8539.10;Faróis e projetores, em unidades seladas
II;AUTOPEÇAS;710;107100;8539.2;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos
II;AUTOPEÇAS;720;107200;8544.20.00;Cabos coaxiais e outros condutores elétricos coaxiais
II;AUTOPEÇAS;730;107300;8544.30.00;Jogos de fios para velas de ignição e outros jogos de fios
II;AUTOPEÇAS;740;107400;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas
II;AUTOPEÇAS;750;107500;8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
II;AUTOPEÇAS;760;107600;8714.1;Parte e acessórios de motocicletas (incluídos os ciclomotores)
II;AUTOPEÇAS;770;107700;8716.90.90;Engates para reboques e semirreboques
II;AUTOPEÇAS;780;107800;9026.10;Medidores de nível Medidores de vazão
II;AUTOPEÇAS;790;107900;9026.20;Aparelhos para medida ou controle da pressão
II;AUTOPEÇAS;800;108000;9029;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios
II;AUTOPEÇAS;810;108100;9030.33.21;Amperímetros
II;AUTOPEÇAS;820;108200;9031.80.40;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)
II;AUTOPEÇAS;830;108300;9032.89.2;Controladores eletrônicos
II;AUTOPEÇAS;840;108400;9104.00.00;Relógios para painéis de instrumentos e relógios semelhantes
II;AUTOPEÇAS;850;108500;9401.20.00 9401.90.90;Assentos e partes de assentos
II;AUTOPEÇAS;860;108600;9613.80.00;Acendedores
II;AUTOPEÇAS;870;108700;4009;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios
II;AUTOPEÇAS;880;108800;4504.90.00 6812.99.10;Juntas de vedação de cortiça natural e de amianto
II;AUTOPEÇAS;890;108900;4823.40.00;Papel-diagrama para tacógrafo, em disco
II;AUTOPEÇAS;900;109000;3919.10.00 3919.90.00 8708.29.99;Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários
II;AUTOPEÇAS;910;109100;8412.31.10;Cilindros pneumáticos
II;AUTOPEÇAS;920;109200;8413.19.00 8413.50.90 8413.81.00;Bomba elétrica de lavador de para-brisa
II;AUTOPEÇAS;930;109300;8413.60.19 8413.70.10;Bomba de assistência de direção hidráulica
II;AUTOPEÇAS;940;109400;8414.59.10 8414.59.90;Motoventiladores
II;AUTOPEÇAS;950;109500;8421.39.90;Filtros de pólen do ar-condicionado
II;AUTOPEÇAS;960;109600;8501.10.19;“Máquina” de vidro elétrico de porta
II;AUTOPEÇAS;970;109700;8501.31.10;Motor de limpador de para-brisa
II;AUTOPEÇAS;980;109800;8504.50.00;Bobinas de reatância e de autoindução
II;AUTOPEÇAS;990;109900;8507.20 8507.30;Baterias de chumbo e de níquel-cádmio
II;AUTOPEÇAS;1000;110000;8512.30.00;Aparelhos de sinalização acústica (buzina)
II;AUTOPEÇAS;1010;110100;9032.89.8 9032.89.9;Instrumentos para regulação de grandezas não elétricas
II;AUTOPEÇAS;1020;110200;9027.10.00;Analisadores de gases ou de fumaça (sonda lambda)
II;AUTOPEÇAS;1030;110300;4008.11.00;Perfilados de borracha vulcanizada não endurecida
II;AUTOPEÇAS;1040;110400;5601.22.19;Artefatos de pasta de fibra de uso automotivo
II;AUTOPEÇAS;1050;110500;5703.20.00;Tapetes/carpetes - nailón
II;AUTOPEÇAS;1060;110600;5703.30.00;Tapetes de matérias têxteis sintéticas
II;AUTOPEÇAS;1070;110700;5911.90.00;Forração interior capacete
II;AUTOPEÇAS;1080;110800;6903.90.99;Outros para-brisas
II;AUTOPEÇAS;1090;110900;7007.29.00;Moldura com espelho
II;AUTOPEÇAS;1100;111000;7314.50.00;REVOGADO
II;AUTOPEÇAS;1110;111100;7315.11.00;Corrente transmissão
II;AUTOPEÇAS;1120;111200;7315.12.10;Outras correntes de transmissão
II;AUTOPEÇAS;1130;111300;8418.99.00;Condensador tubular metálico
II;AUTOPEÇAS;1140;111400;8419.50;Trocadores de calor
II;AUTOPEÇAS;1150;111500;8424.90.90;Partes de aparelhos mecânicos de pulverizar ou dispersar
II;AUTOPEÇAS;1160;111600;8425.49.10;Macacos manuais para veículos
II;AUTOPEÇAS;1170;111700;8431.41.00;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias
II;AUTOPEÇAS;1180;111800;8501.61.00;Geradores de corrente alternada de potência não superior a 75 kva
II;AUTOPEÇAS;1190;111900;8531.10.90;Aparelhos elétricos para alarme de uso automotivo
II;AUTOPEÇAS;1200;112000;9014.10.00;Bússolas
II;AUTOPEÇAS;1210;112100;9025.19.90;Indicadores de temperatura
II;AUTOPEÇAS;1220;112200;9025.90.10;Partes de indicadores de temperatura
II;AUTOPEÇAS;1230;112300;9026.90;Partes de aparelhos de medida ou controle
II;AUTOPEÇAS;1240;112400;9032.10.10;Termostatos
II;AUTOPEÇAS;1250;112500;9032.10.90;Instrumentos e aparelhos para regulação
II;AUTOPEÇAS;1260;112600;9032.20.00;Pressostatos
II;AUTOPEÇAS;1270;112700;8716.90;Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00
II;AUTOPEÇAS;1280;112800;7322.90.10;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis
II;AUTOPEÇAS;9990;199900; ;"Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo "
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;10;200100;"22052208.90.00";Aperitivos, amargos, bitter e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;20;200200;2208.90.00;Batida e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;30;200300;2208.90.00;Bebida ice
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;40;200400;"2207.202208.40.00";Cachaça e aguardentes
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;50;200500;"22052206.00.902208.90.00";Catuaba e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;60;200600;2208.20.00;Conhaque, brandy e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;70;200700;"2206.00.902208.90.00";Cooler
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;80;200800;2208.50.00;Gim (gin) e genebra
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;90;200900;"22052206.00.902208.90.00";Jurubeba e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;100;201000;2208.70.00;Licores e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;110;201100;2208.20.00;Pisco
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;120;201200;2208.40.00;Rum
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;130;201300;2206.00.90;Saquê
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;140;201400;2208.90.00;Steinhaeger
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;150;201500;2208.90.00;Tequila
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;160;201600;2208.30;Uísque
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;170;201700;2205;Vermute e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;180;201800;2208.60.00;Vodka
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;190;201900;2208.90.00;Derivados de vodka
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;200;202000;2208.90.00;Arak
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;210;202100;2208.20.00;Aguardente vínica / grappa
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;220;202200;2206.00.10;Sidra e similares
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;230;202300;"22052206.00.902208.90.00";Sangrias e coquetéis
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;240;202400;2204;Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool mostos de uvas.
III;BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;9990;299900;"2205220622072208";"Outras bebidas alcoólicas não especificadas nos itens anteriores "
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10;300100;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;20;300200;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml exceto as classificadas no CEST 03.024.00 e 03.025.00
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;30;300300;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;40;300400;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;50;300500;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;60;300600;2201.10.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas exceto as classificadas no CEST 03.024.00 e 03.025.00
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;70;300700;2202.10.00;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;80;300800;2202.99.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;100;301000;2202;Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;110;301100;2202;Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;111;301101;2202;Espumantes sem álcool
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;120;301200;2106.90.10;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;130;301300;"2106.90 2202.99.00";Bebidas energéticas em embalagem com capacidade inferior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;140;301400;"2106.902202.99.00";Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;150;301500;"2106.902202.99.00";Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;160;301600;"2106.902202.99.00";Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;210;302100;2203.00.00;Cerveja
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;220;302200;2202.91.00;Cerveja sem álcool
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;230;302300;2203.00.00;Chope
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;240;302400;2201.10.00;Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros
IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;250;302500;2201.10.00;"Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros "
V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;10;400100;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos
V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;20;400200;2403.1;"Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção "
VI;CIMENTOS;10;500100;2523;"Cimento "
VII;COMBUSTÍVEIS E LUBRIFICANTES;10;600100;2207.10.10;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)
VII;COMBUSTÍVEIS E LUBRIFICANTES;11;600101;2207.10.90;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)
VII;COMBUSTÍVEIS E LUBRIFICANTES;20;600200;2710.12.59;Gasolina automotiva A, exceto Premium
VII;COMBUSTÍVEIS E LUBRIFICANTES;21;600201;2710.12.59;Gasolina automotiva C, exceto Premium
VII;COMBUSTÍVEIS E LUBRIFICANTES;22;600202;2710.12.59;Gasolina automotiva A Premium
VII;COMBUSTÍVEIS E LUBRIFICANTES;23;600203;2710.12.59;Gasolina automotiva C Premium
VII;COMBUSTÍVEIS E LUBRIFICANTES;30;600300;2710.12.51;Gasolina de aviação
VII;COMBUSTÍVEIS E LUBRIFICANTES;40;600400;2710.19.19;Querosenes, exceto de aviação
VII;COMBUSTÍVEIS E LUBRIFICANTES;50;600500;2710.19.11;Querosene de aviação
VII;COMBUSTÍVEIS E LUBRIFICANTES;60;600600;2710.19.2;Óleo diesel A, exceto S10 e Marítimo
VII;COMBUSTÍVEIS E LUBRIFICANTES;61;600601;2710.19.2;Óleo diesel B, exceto S10 (mistura obrigatória)
VII;COMBUSTÍVEIS E LUBRIFICANTES;62;600602;2710.19.2;Óleo diesel B, exceto S10 (misturas autorizativas)
VII;COMBUSTÍVEIS E LUBRIFICANTES;63;600603;2710.19.2;Óleo diesel B, exceto S10 (misturas experimentais)
VII;COMBUSTÍVEIS E LUBRIFICANTES;64;600604;2710.19.2;Óleo diesel A S10
VII;COMBUSTÍVEIS E LUBRIFICANTES;65;600605;2710.19.2;Óleo diesel B S10 (mistura obrigatória)
VII;COMBUSTÍVEIS E LUBRIFICANTES;66;600606;2710.19.2;Óleo diesel B S10 (misturas autorizativas)
VII;COMBUSTÍVEIS E LUBRIFICANTES;67;600607;2710.19.2;Óleo diesel B S10 (misturas experimentais)
VII;COMBUSTÍVEIS E LUBRIFICANTES;68;600608;2710.19.2;Óleo Diesel Marítimo
VII;COMBUSTÍVEIS E LUBRIFICANTES;69;600609;2710.19.2;Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11
VII;COMBUSTÍVEIS E LUBRIFICANTES;610;600610;2710.19.2;Óleo combustível derivado de xisto
VII;COMBUSTÍVEIS E LUBRIFICANTES;611;600611;2710.19.22;Óleo combustível pesado
VII;COMBUSTÍVEIS E LUBRIFICANTES;70;600700;2710.19.3;Óleos lubrificantes
VII;COMBUSTÍVEIS E LUBRIFICANTES;80;600800;2710.19.9;Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes
VII;COMBUSTÍVEIS E LUBRIFICANTES;81;600801;2710.19.9;Graxa lubrificante
VII;COMBUSTÍVEIS E LUBRIFICANTES;90;600900;2710.9;Resíduos de óleos
VII;COMBUSTÍVEIS E LUBRIFICANTES;100;601000;2711;Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.
VII;COMBUSTÍVEIS E LUBRIFICANTES;110;601100;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLP)
VII;COMBUSTÍVEIS E LUBRIFICANTES;111;601101;2711.19.10;Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg
VII;COMBUSTÍVEIS E LUBRIFICANTES;112;601102;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn)
VII;COMBUSTÍVEIS E LUBRIFICANTES;113;601103;2711.19.10;Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg
VII;COMBUSTÍVEIS E LUBRIFICANTES;114;601104;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi)
VII;COMBUSTÍVEIS E LUBRIFICANTES;115;601105;2711.19.10;Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg
VII;COMBUSTÍVEIS E LUBRIFICANTES;116;601106;2711.19.10;Gás liquefeito de petróleo em botijão de 13 kg (Misturas)
VII;COMBUSTÍVEIS E LUBRIFICANTES;117;601107;2711.19.10;Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg
VII;COMBUSTÍVEIS E LUBRIFICANTES;120;601200;2711.11.00;Gás Natural Liquefeito
VII;COMBUSTÍVEIS E LUBRIFICANTES;130;601300;2711.21.00;Gás Natural Gasoso
VII;COMBUSTÍVEIS E LUBRIFICANTES;140;601400;2711.29.90;Gás de xisto
VII;COMBUSTÍVEIS E LUBRIFICANTES;150;601500;2713;Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos
VII;COMBUSTÍVEIS E LUBRIFICANTES;160;601600;3826.00.00;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos
VII;COMBUSTÍVEIS E LUBRIFICANTES;170;601700;3403;Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos
VII;COMBUSTÍVEIS E LUBRIFICANTES;180;601800;2710.20.00;"Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos "
