CFOP;Descrição Resumida do CFOP;Aplicação
1132;1.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização;Classificam-se neste código as entradas para comercialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.” (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.
1135;1.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização;Classificam-se neste código as entradas para industrialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.” (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.
1151;1.151 - Transferência p/ industrialização ou produção rural;"Entrada de mercadoria recebida, em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1152;1.152 - Transferência p/ comercialização;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.
1153;1.153 - Transferência de energia elétrica p/ distribuição;Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.
1154;1.154 - Transferência p/ utilização na prestação de serviço;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.
1159;1.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;"Classificam-se neste código as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado no código ""5.159 – Fornecimento de produção do estabelecimento de ato cooperativo” ou “5.160 – Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo”"
1201;1.201 - Devolução de venda de produção do estabelecimento;"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de produção do estabelecimento"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1202;1.202 - Devolução de venda de mercadoria adquirida ou recebida de terceiros;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros.
1203;1.203 - Devolução de venda de produção do estabelecimento, destinada à ZFM ou ALC;"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código ""5.109 – Venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1204;1.204 - Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à ZFM ou ALC;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.
1205;1.205 - Anulação de valor relativo à prestação de serviço de comunicação;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.
1206;1.206 - Anulação de valor relativo à prestação de serviço de transporte;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.
1207;1.207 - Anulação de valor relativo à venda de energia elétrica;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.
1208;1.208 - Devolução de produção do estabelecimento, remetida em transferência;"Devolução de produto industrializado ou produzido pelo estabelecimento transferido para outro estabelecimento da mesma empresa. (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1209;1.209 - Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.
1212;1.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped);Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento. (AJUSTE SINIEF 5, DE 7 DE MARÇO DE 2016) efeitos a partir de 1º de abril de 2016.
1213;1.213 - Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo;Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código “5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo.” (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.
1214;1.214 - Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo;Classificam-se neste código as devoluções de fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código “5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.” (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.
1215;1.215 - Devolução de fornecimento de produção do estabelecimento de ato cooperativo;Classificam-se neste código as devoluções de fornecimentos de produtos industrializados ou produzidos pelo próprio estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas saídas tenham sido classificadas no código 5.159 - Fornecimento de produção do estabelecimento de ato cooperativo.
1216;1.216 - Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;Classificam-se neste código as devoluções de fornecimentos de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento de cooperativa, destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas saídas tenham sido classificadas no código 5.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo.
1251;1.251 - Compra de energia elétrica p/ distribuição ou comercialização;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.
1252;1.252 - Compra de energia elétrica por estabelecimento industrial;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.
1253;1.253 - Compra de energia elétrica por estabelecimento comercial;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.
1254;1.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.
1255;1.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.
1256;1.256 - Compra de energia elétrica por estabelecimento de produtor rural;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.
1257;1.257 - Compra de energia elétrica p/ consumo por demanda contratada;Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.
1301;1.301 - Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.
1302;1.302 - Aquisição de serviço de comunicação por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.
1303;1.303 - Aquisição de serviço de comunicação por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.
1304;1.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.
1305;1.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.
1306;1.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.
1351;1.351 - Aquisição de serviço de transporte p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.
1352;1.352 - Aquisição de serviço de transporte por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.
1353;1.353 - Aquisição de serviço de transporte por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.
1354;1.354 - Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.
1355;1.355 - Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.
1356;1.356 - Aquisição de serviço de transporte por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.
1360;1.360 - Aquisição de serviço de transporte por contribuinte-substituto em relação ao serviço de transporte;Aquisição de serviço de transporte quando o adquirente for contribuinte-substituto em relação ao imposto incidente na prestação dos serviços
1401;1.401 - Compra p/ industrialização ou produção rural de mercadoria sujeita a ST;"Compra de mercadoria sujeita ao regime de substituição tributária, a ser utilizada em processo de industrialização ou produção rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1403;1.403 - Compra p/ comercialização em operação com mercadoria sujeita a ST;Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de substituição tributária em estabelecimento comercial de cooperativa.
1406;1.406 - Compra de bem p/ o ativo imobilizado cuja mercadoria está sujeita a ST;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.
1407;1.407 - Compra de mercadoria p/ uso ou consumo cuja mercadoria está sujeita a ST;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.
1408;1.408 - Transferência p/ industrialização ou produção rural de mercadoria sujeita a ST;"Mercadoria sujeita ao regime de substituição tributária, recebida em transferência de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produção rural no estabelecimento.(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1409;1.409 - Transferência p/ comercialização em operação com mercadoria sujeita a ST;Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.
1410;1.410 - Devolução de venda de mercadoria, de produção do estabelecimento, sujeita a ST;"Devolução de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de mercadoria de produção do estabelecimento sujeita ao regime de substituição tributária"".(NR Ajuste SINIEF 05/2005) (DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1411;1.411 - Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.
1414;1.414 - Retorno de mercadoria de produção do estabelecimento, remetida p/ venda fora do estabelecimento, sujeita a ST;"Entrada, em retorno, de produto industrializado ou produzido pelo próprio estabelecimento, remetido para venda fora do estabelecimento, inclusive por meio de veículo, sujeito ao regime de substituição tributária e não comercializado.(NR Ajuste SINIEF 05/2005) (DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)."
1415;1.415 - Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em operação com mercadoria sujeita a ST;Classificam-se neste código as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros remetidas para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributária, e não comercializadas.
1451;"1.451 - Entrada de animal - Sistema de Integração e Parceria Rural";"Classificam-se neste código as entradas de animais pelo sistema integrado e de produção animal, para criação, recriação ou engorda,inclusive em sistema de confinamento. Também serão classificadas neste código as entradas do sistema de integração e produçãoanimal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central."
1452;"1.452 - Entrada de insumo - Sistema de Integração e Parceria Rural";"Classificam-se neste código as entradas de insumos pelo sistema integrado e de produção animal, para criação, recriação ou engorda,inclusive em sistema de confinamento. Também serão classificadas neste código as entradas do sistema de integração e produçãoanimal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.”"
1453;1.453 - Retorno do animal ou da produção - Sistema de Integração e Parceria Rural;"Classificam-se neste código as entradas referentes ao retorno da produção, bem como de animais criados, recriados ou engordadospelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.453 - Retorno de animalou da produção - Sistema de Integração e Parceria Rural”. Também serão classificados neste código os retornos do sistema de integraçãoe produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central."
1454;1.454 - Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural;"Classificam-se neste código as entradas referentes ao retorno simbólico da produção, bem como de animais criados, recriados ouengordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.454 - Retornosimbólico de animal ou da produção - Sistema de Integração e Parceria Rural”."
1455;1.455 - Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural;"Classificam-se neste código os retornos de insumos não utilizados pelo produtor na criação, recriação ou engorda de animais pelosistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.455 - Retorno de insumos não utilizadosna produção – Sistema de Integração e Parceria Rural”, inclusive as operações entre cooperativa singular e cooperativa central."
1456;1.456 - Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural;"Classificam-se neste código as entradas da parcela da produção do produtor realizadas em sistema de integração e produção animal,quando da entrega ao integrador ou parceiro. Também serão classificadas neste código as entradas decorrentes de “ato cooperativo”,inclusive as operações entre cooperativa singular e cooperativa central.”"
1501;1.501 - Entrada de mercadoria recebida com fim específico de exportação;Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.
1503;1.503 - Entrada decorrente de devolução de produto, de fabricação do estabelecimento, remetido com fim específico de exportação;"Devolução de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código ""5.501 – Remessa de produção do estabelecimento com fim específico de exportação"".(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)."
1504;1.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros;Devolução de mercadoria, adquirida ou recebida de terceiro, remetida a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código “5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação”.
1505;1.505 - Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento;"Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias, bem como o retorno de mercadorias não entregues, remetidas para formação de lote de exportação cujas saídas tenham sido classificadas no código “5.504 - Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento"""
1506;1.506 - Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação;Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias, bem como o retorno de mercadorias não entregues, remetidas para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuadas pelo estabelecimento depositário, cujas saídas tenham sido classificadas no código “5.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação”.
1551;1.551 - Compra de bem p/ o ativo imobilizado;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.
1552;1.552 - Transferência de bem do ativo imobilizado;Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.
1553;1.553 - Devolução de venda de bem do ativo imobilizado;Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código 5.551 - Venda de bem do ativo imobilizado.
1554;1.554 - Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento;Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código 5.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.
1555;1.555 - Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento;Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.
1556;1.556 - Compra de material p/ uso ou consumo;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.
1557;1.557 - Transferência de material p/ uso ou consumo;Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.
1601;1.601 - Recebimento, por transferência, de crédito de ICMS;Classificam-se neste código os lançamentos destinados ao registro de créditos de ICMS, recebidos por transferência de outras empresas.
1602;1.602 - Recebimento, por transferência, de saldo credor do ICMS, de outro estabelecimento da mesma empresa, p/ compensação de saldo devedor do imposto.;"Lançamento destinado ao registro da transferência de saldo credor do ICMS, recebido de outro estabelecimento da mesma empresa, destinado à compensação do saldo devedor do estabelecimento, inclusive no caso de apuração centralizada do imposto.(NR Ajuste SINIEF 9/2003 – a partir 01.01.2004) (Decreto nº 26.174/2003)"
1603;1.603 - Ressarcimento de ICMS retido por substituição tributária;Lançamento destinado ao registro de ressarcimento de ICMS retido por substituição tributária à contribuinte substituído, efetuado pelo contribuinte substituto, ou, ainda, quando o ressarcimento for apropriado pelo próprio contribuinte substituído, nas hipóteses previstas na legislação aplicável.
1604;1.604 - Lançamento do crédito relativo à compra de bem p/ o ativo imobilizado;Lançamento destinado ao registro da apropriação de crédito de bem do ativo imobilizado. (Dec.25.068/2003-EFEITOS A PARTIR DE 01.01.2003)
1605;1.605 - Recebimento, por transferência, de saldo devedor do ICMS de outro estabelecimento da mesma empresa;Lançamento destinado ao registro da transferência de saldo devedor do ICMS, recebido de outro estabelecimento da mesma empresa, para efetivação da apuração centralizada do imposto. (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810/2004)(a partir de 01.01.2005)
1651;1.651 - Compra de combustível ou lubrificante p/ industrialização subseqüente;Compra de combustível ou lubrificante a ser utilizados em processo de industrialização do próprio produto. (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004)
1652;1.652 - Compra de combustível ou lubrificante p/ comercialização;Compra de combustível ou lubrificante a ser comercializados. (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004)
1653;1.653 - Compra de combustível ou lubrificante por consumidor ou usuário final;"Compra de combustível ou lubrificante, a ser consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviço ou por usuário final.(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)"
1657;1.657 - Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento.;Classificam-se neste código as entradas em retorno de combustível ou lubrificante remetidos para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializados
1658;1.658 - Transferência de combustível ou lubrificante p/ industrialização;Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser utilizados em processo de industrialização do próprio produto.(Decreto 26.174/2003)(efeitos a partir 01.01.2004)
1659;1.659 - Transferência de combustível ou lubrificante p/ comercialização;Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser comercializados. .(Decreto 26.174/2003) (efeitos a partir 01.01.2004)
